customer_no,owner_indic,acct_type,utilization,utilization_count
7247,1,1,High,1
7247,1,10,Low,1
7248,1,10,High,5
7248,1,10,Low,3
7249,1,3,High,1
7249,1,10,High,2
7249,1,13,Low,1
7249,4,32,High,1
7250,1,10,Low,2
7251,1,10,Low,2
7251,1,13,Low,1
7252,1,6,Low,3
7252,1,10,Low,1
7252,1,13,Low,2
7253,1,1,High,2
7253,1,10,High,1
7253,1,10,Low,3
7253,1,13,Low,2
7253,4,2,High,1
7254,1,1,High,1
7254,1,10,High,2
7254,1,10,Low,6
7254,4,2,High,1
7255,1,10,High,3
7255,1,10,Low,3
7255,1,15,High,3
7256,1,6,Low,2
7256,1,10,High,1
7256,1,10,Low,2
7256,4,2,High,1
7257,1,1,High,1
7257,1,10,High,1
7257,1,10,Low,1
7257,4,13,Low,1
7258,1,10,High,6
7258,1,10,Low,1
7258,4,2,High,1
7259,1,5,High,4
7259,1,7,Low,2
7259,1,10,High,1
7259,1,10,Low,5
7259,1,12,Low,1
7260,1,5,High,1
7260,1,6,Low,2
7260,1,10,Low,4
7261,1,0,Low,1
7261,1,1,High,1
7261,1,5,High,3
7261,1,6,Low,3
7261,1,10,High,1
7261,1,10,Low,1
7261,1,13,Low,1
7262,1,5,High,1
7262,1,10,High,1
7262,1,10,Low,3
7262,2,10,Low,1
7263,1,1,High,4
7263,1,2,High,1
7263,1,6,Low,2
7263,1,10,High,4
7263,1,10,Low,3
7263,2,10,Low,2
7263,3,2,High,1
7263,4,2,High,1
7264,1,1,High,1
7264,1,5,High,9
7264,1,6,Low,7
7264,1,10,High,1
7264,1,10,Low,4
7265,1,1,High,1
7265,1,5,High,1
7265,1,5,Low,1
7265,1,10,High,1
7265,1,10,Low,1
7266,1,0,High,1
7266,1,5,High,4
7266,1,6,Low,2
7266,1,10,Low,6
7267,1,0,High,1
7267,1,5,High,1
7267,1,10,Low,4
7268,1,5,High,3
7268,1,5,Low,1
7268,1,10,High,2
7268,1,10,Low,2
7269,1,1,High,1
7269,1,10,High,1
7269,1,10,Low,4
7269,1,13,Low,1
7270,1,5,High,2
7270,1,6,Low,4
7270,1,10,High,1
7270,1,10,Low,1
7270,1,13,Low,1
7271,1,5,High,2
7271,1,5,Low,1
7271,1,6,Low,1
7271,1,7,Low,1
7271,1,10,High,1
7271,1,10,Low,1
7272,1,1,High,1
7272,1,6,Low,6
7272,1,10,High,2
7272,4,5,High,1
7273,1,10,High,2
7273,1,10,Low,1
7274,1,10,Low,4
7275,1,1,High,1
7275,1,2,High,1
7275,1,5,High,1
7275,1,6,High,1
7275,1,6,Low,2
7275,1,10,High,2
7275,1,10,Low,4
7275,1,12,Low,1
7275,3,2,High,1
7275,4,2,High,1
7275,4,3,High,1
7276,1,5,High,1
7276,1,6,Low,1
7276,1,10,High,12
7276,1,10,Low,4
7276,2,10,High,3
7276,4,2,High,1
7277,1,1,High,1
7277,1,2,High,2
7277,1,5,High,1
7277,1,10,High,3
7277,1,10,Low,12
7277,1,13,Low,1
7277,4,1,High,1
7277,4,2,High,1
7278,1,5,Low,2
7278,1,6,Low,3
7278,1,10,High,1
7278,1,10,Low,4
7278,1,13,Low,1
7279,1,3,High,1
7279,1,10,High,1
7279,4,1,High,2
7280,1,5,High,1
7280,1,10,Low,4
7281,1,6,Low,4
7281,1,13,Low,1
7282,1,0,High,2
7282,1,5,High,1
7282,1,10,High,1
7282,1,10,Low,2
7283,1,1,High,1
7283,1,6,Low,1
7283,1,10,High,1
7283,1,10,Low,4
7284,1,2,High,1
7284,1,10,High,1
7284,1,10,Low,1
7284,1,13,Low,1
7284,3,13,Low,1
7285,1,10,Low,1
7286,1,10,High,1
7286,1,10,Low,2
7287,1,6,Low,7
7287,1,7,Low,1
7287,1,10,High,1
7287,1,10,Low,3
7287,1,13,Low,1
7287,4,2,High,1
7288,1,5,High,1
7288,1,6,Low,3
7288,1,10,High,7
7288,1,10,Low,4
7288,1,12,High,1
7289,1,5,High,5
7289,1,6,Low,8
7289,1,10,High,4
7289,1,10,Low,7
7289,1,13,Low,1
7290,1,5,High,3
7290,1,10,High,1
7290,1,10,Low,2
7291,1,1,High,1
7291,1,10,Balanced,2
7291,1,10,Low,1
7291,1,13,Low,1
7291,3,1,High,1
7291,4,1,High,1
7292,1,10,Low,4
7293,1,5,High,6
7293,1,6,Low,3
7293,1,10,High,4
7293,1,10,Low,6
7294,1,1,High,4
7294,1,5,High,1
7294,1,5,Low,1
7294,1,6,Low,3
7294,1,10,High,8
7294,1,10,Low,5
7294,1,13,Low,1
7294,1,51,High,3
7294,4,2,High,1
7295,1,0,High,1
7295,1,1,High,1
7295,1,5,High,4
7295,1,5,Low,1
7295,1,6,Low,8
7295,1,7,High,2
7295,1,10,High,1
7295,1,13,High,1
7295,1,13,Low,3
7296,1,5,High,1
7296,1,10,Low,3
7297,1,0,Low,1
7297,1,5,High,2
7297,1,10,High,1
7297,1,10,Low,3
7298,1,5,High,4
7298,1,10,High,1
7298,1,10,Low,7
7298,1,13,Low,1
7299,1,5,High,1
7299,1,10,High,2
7299,2,10,Low,1
7300,1,5,High,1
7300,1,5,Low,2
7300,1,6,Low,2
7300,1,10,High,5
7300,1,10,Low,6
7300,2,10,Low,1
7300,3,2,High,1
7300,4,2,High,1
7300,4,5,Low,1
7301,1,1,High,1
7301,1,10,High,1
7301,1,10,Low,1
7301,4,1,High,2
7302,1,6,Low,2
7302,1,7,Low,3
7302,1,10,Low,1
7303,1,5,Low,1
7303,1,6,Low,2
7303,1,10,High,1
7304,1,5,High,1
7304,1,6,Low,2
7304,1,10,High,3
7304,1,10,Low,5
7305,1,5,High,3
7305,1,10,High,1
7305,1,10,Low,3
7305,1,13,Low,1
7306,1,1,High,2
7306,1,2,High,1
7306,1,5,Low,3
7306,1,6,Low,6
7306,1,10,High,2
7306,1,10,Low,2
7306,1,13,Low,1
7306,3,13,Low,1
7307,1,5,High,1
7307,1,10,Low,1
7307,1,53,High,1
7308,1,5,High,1
7308,1,10,Low,3
7309,1,5,High,2
7309,1,6,Low,3
7309,1,10,High,3
7309,1,10,Low,1
7310,1,5,High,1
7310,1,5,Low,1
7310,1,6,Low,1
7310,1,10,Low,2
7310,1,53,High,1
7311,1,10,Low,4
7311,1,13,Low,1
7312,1,10,High,2
7312,1,10,Low,2
7312,1,12,High,1
7313,1,6,Low,2
7313,1,10,Low,1
7314,1,5,High,3
7314,1,5,Low,3
7314,1,6,Low,2
7314,1,10,High,1
7314,1,10,Low,1
7314,1,13,Low,1
7314,4,2,High,1
7315,1,5,High,2
7315,1,5,Low,2
7315,1,6,Low,2
7315,1,7,High,4
7315,1,7,Low,1
7315,1,10,High,3
7315,1,10,Low,4
7315,1,13,Low,1
7315,4,2,High,2
7316,1,0,High,1
7316,1,1,High,1
7316,1,4,High,2
7316,1,5,High,3
7316,1,6,Low,2
7316,1,10,Balanced,1
7316,1,10,High,9
7316,1,10,Low,2
7316,1,51,High,1
7316,2,10,High,1
7316,4,2,High,1
7317,1,1,High,1
7317,1,5,High,1
7317,1,6,Low,4
7317,1,10,High,2
7317,1,10,Low,3
7317,1,13,Low,1
7318,1,1,High,1
7318,1,5,High,3
7318,1,5,Low,1
7318,1,10,High,3
7318,1,10,Low,6
7318,1,13,Low,1
7319,1,10,Low,4
7320,1,5,High,1
7320,1,6,Low,1
7320,1,10,Low,4
7320,1,13,Low,1
7321,1,5,High,2
7321,1,6,Low,2
7321,1,10,High,2
7321,1,13,Low,1
7322,1,10,Low,1
7322,1,53,Low,1
7323,1,10,High,5
7323,1,10,Low,1
7324,1,0,High,1
7324,1,1,High,1
7324,1,5,High,5
7324,1,5,Low,1
7324,1,6,Low,5
7324,1,10,High,6
7324,1,10,Low,1
7324,1,13,Low,1
7325,1,0,Low,1
7325,1,5,High,1
7325,1,6,Low,6
7325,1,10,High,2
7325,1,10,Low,3
7325,1,12,High,1
7326,1,5,High,3
7326,1,5,Low,1
7326,1,10,High,2
7326,1,10,Low,4
7326,1,13,Low,1
7327,1,1,High,3
7327,1,5,High,1
7327,1,6,Low,2
7327,1,7,High,5
7327,1,10,High,3
7327,1,13,Low,1
7327,4,5,High,2
7328,1,1,High,1
7328,1,6,Low,2
7328,1,10,Low,4
7329,1,0,High,1
7329,1,10,Low,3
7329,3,6,High,1
7329,3,12,High,1
7330,1,5,High,1
7330,1,10,Balanced,1
7330,1,10,Low,4
7331,1,5,High,5
7331,1,10,High,3
7331,1,10,Low,2
7331,1,13,Low,2
7332,1,0,Low,1
7332,1,5,High,1
7332,1,5,Low,1
7332,1,6,Low,4
7332,1,10,Balanced,1
7332,1,10,High,2
7332,1,10,Low,3
7332,1,13,Low,2
7333,1,6,Low,3
7333,1,10,High,1
7333,1,10,Low,3
7333,1,13,Low,1
7334,1,5,High,2
7334,1,5,Low,2
7334,1,6,Low,3
7334,1,10,High,2
7334,1,10,Low,4
7334,1,13,Low,2
7335,1,5,High,1
7335,1,6,High,3
7335,1,6,Low,2
7335,1,10,High,3
7335,1,10,Low,6
7336,1,1,High,2
7336,1,2,High,1
7336,1,6,Low,4
7336,1,10,High,3
7336,1,10,Low,1
7336,1,13,Low,2
7337,1,0,High,1
7337,1,5,High,11
7337,1,6,Low,1
7337,1,7,Low,1
7337,1,10,High,2
7337,1,10,Low,3
7338,1,0,Low,1
7338,1,2,High,1
7338,1,5,High,5
7338,1,5,Low,1
7338,1,10,High,9
7338,1,10,Low,9
7338,1,12,High,1
7338,1,32,High,1
7339,1,6,Low,1
7339,1,10,High,1
7340,1,5,High,2
7340,1,6,Low,2
7340,1,10,Low,3
7340,1,12,Low,1
7340,3,1,High,1
7341,1,6,Low,2
7341,1,7,High,4
7341,1,7,Low,4
7341,1,10,High,1
7341,1,10,Low,3
7342,1,5,High,4
7342,1,6,Low,2
7342,1,10,High,3
7343,1,1,High,1
7343,1,5,High,1
7343,1,6,Low,2
7343,1,10,Low,8
7344,1,1,High,6
7344,1,5,High,1
7344,1,6,Low,1
7344,1,10,High,2
7344,1,10,Low,1
7344,1,51,High,1
7345,1,5,High,1
7345,1,10,High,1
7345,1,10,Low,3
7346,1,6,Low,1
7346,1,10,Low,8
7347,1,10,Balanced,1
7347,1,10,High,3
7347,1,10,Low,3
7347,1,17,High,1
7347,4,1,High,1
7348,1,1,High,1
7348,1,5,High,1
7348,1,6,Low,2
7348,1,10,High,1
7348,1,10,Low,3
7348,1,13,High,1
7349,1,6,Low,3
7349,1,10,Low,2
7350,1,5,High,2
7350,1,10,High,1
7350,1,10,Low,1
7351,1,0,Low,1
7351,1,1,High,2
7351,1,2,High,1
7351,1,5,High,3
7351,1,6,Low,1
7351,1,10,High,2
7351,1,10,Low,7
7351,1,13,Low,1
7352,1,2,High,1
7352,1,5,High,3
7352,1,6,Low,5
7352,1,10,High,5
7352,1,10,Low,6
7352,1,13,Low,2
7352,4,2,High,2
7353,1,5,High,1
7353,1,10,High,2
7353,1,10,Low,1
7354,1,10,Low,4
7355,1,1,Low,1
7355,1,5,High,1
7355,1,5,Low,1
7355,1,10,High,4
7355,1,10,Low,2
7355,1,13,Low,1
7355,1,51,High,1
7355,4,2,High,1
7356,1,1,High,1
7356,1,1,Low,1
7356,1,5,High,1
7356,1,5,Low,1
7356,1,10,High,4
7356,1,10,Low,6
7356,4,2,High,1
7357,1,6,Low,2
7357,1,10,Low,3
7358,1,5,High,3
7358,1,7,High,2
7358,1,7,Low,1
7358,1,10,High,3
7358,1,10,Low,1
7358,4,2,High,3
7359,1,10,Low,2
7360,1,10,High,2
7360,1,10,Low,3
7361,1,10,Low,3
7361,1,13,Low,1
7362,1,10,Low,2
7363,1,1,High,1
7363,1,10,Low,1
7364,1,5,High,1
7364,1,5,Low,1
7364,1,10,Low,2
7364,1,13,Low,1
7365,1,5,Low,1
7365,1,10,Low,3
7366,1,10,High,1
7366,1,10,Low,1
7367,1,0,Low,1
7367,1,5,High,1
7367,1,10,High,1
7368,1,10,Low,1
7369,1,6,Low,1
7369,1,10,Low,2
7370,1,10,High,3
7370,1,10,Low,7
7371,1,1,High,2
7371,1,2,High,2
7371,1,6,Low,3
7371,1,10,High,4
7371,1,10,Low,10
7371,2,10,Low,1
7371,4,2,High,1
7372,1,10,Low,2
7372,1,13,Low,2
7373,1,0,High,3
7373,1,0,Low,2
7373,1,2,High,1
7373,1,5,High,2
7373,1,5,Low,1
7373,1,6,Low,5
7373,1,10,High,1
7373,1,10,Low,2
7373,1,13,Low,1
7373,4,2,High,1
7374,1,2,High,1
7374,1,6,Low,2
7374,1,10,High,3
7374,1,10,Low,9
7374,2,10,Low,1
7375,1,6,Low,2
7375,1,10,Low,2
7376,1,5,High,1
7377,1,1,High,1
7377,1,5,High,3
7377,1,10,High,3
7377,1,10,Low,3
7378,1,5,Low,1
7379,1,10,High,1
7379,1,10,Low,1
7379,4,13,Low,1
7380,1,0,High,1
7380,1,6,Low,3
7380,1,10,Low,5
7380,1,13,Low,1
7381,1,6,Low,1
7381,1,10,Low,5
7381,2,10,High,2
7381,3,1,High,1
7382,1,0,High,1
7382,1,2,High,1
7382,1,10,High,1
7382,1,10,Low,3
7383,1,5,High,3
7383,1,10,High,1
7383,1,10,Low,3
7384,1,10,Low,2
7385,1,0,High,2
7385,1,5,High,8
7385,1,10,High,6
7385,1,10,Low,6
7385,1,13,Low,2
7386,1,10,Low,2
7387,1,1,High,1
7387,1,6,Low,5
7387,1,13,Low,1
7388,1,10,Low,3
7389,1,5,High,4
7389,1,5,Low,1
7389,1,6,Low,2
7389,1,10,High,1
7389,1,10,Low,1
7389,1,13,Low,1
7390,1,0,High,1
7390,1,6,Low,5
7390,1,10,High,1
7390,1,10,Low,1
7391,1,0,High,1
7391,1,1,High,1
7391,1,1,Low,1
7391,1,2,High,3
7391,1,5,High,3
7391,1,5,Low,3
7391,1,6,Low,3
7391,1,10,High,3
7391,1,10,Low,6
7391,2,10,Low,1
7391,4,2,High,2
7392,1,1,High,2
7392,1,6,Low,5
7392,1,10,Balanced,1
7392,1,10,High,1
7392,1,10,Low,3
7392,1,12,High,1
7393,1,10,High,1
7393,1,10,Low,1
7393,1,13,Low,1
7394,1,2,Low,1
7394,1,6,Low,6
7394,1,10,Low,2
7395,1,1,High,1
7395,1,5,High,1
7395,1,6,Low,2
7395,1,10,High,2
7395,1,10,Low,2
7396,1,10,High,1
7396,1,10,Low,1
7396,4,2,High,1
7397,1,5,High,2
7397,1,10,High,6
7397,1,10,Low,4
7398,1,0,Low,1
7398,1,6,Low,2
7398,1,10,Low,4
7399,1,10,High,1
7399,1,10,Low,2
7399,4,3,High,1
7400,1,6,Low,2
7400,1,10,High,1
7400,1,10,Low,1
7400,4,2,High,1
7401,1,10,High,2
7401,1,10,Low,2
7401,1,13,Low,1
7402,1,10,Low,2
7403,1,1,High,1
7403,1,5,High,1
7403,1,10,High,2
7403,1,10,Low,4
7404,1,0,High,1
7404,1,1,High,1
7404,1,6,Low,1
7404,1,10,High,2
7404,1,10,Low,3
7405,1,10,High,1
7406,1,6,Low,3
7406,1,10,High,2
7406,1,10,Low,1
7406,1,13,Low,1
7406,1,32,High,1
7407,1,0,High,1
7407,1,5,High,1
7407,1,6,Low,1
7408,1,6,Low,2
7408,1,10,High,1
7409,1,1,High,3
7409,1,2,High,1
7409,1,6,Low,4
7409,1,7,High,1
7409,1,10,High,1
7409,1,10,Low,4
7409,1,17,High,1
7409,1,32,High,1
7409,1,51,High,1
7410,1,6,Low,1
7410,1,10,Low,1
7410,1,13,Low,1
7411,1,0,High,1
7411,1,5,High,2
7411,1,6,Low,2
7411,1,10,Balanced,1
7411,1,10,Low,3
7412,1,2,High,2
7412,1,6,Low,1
7412,1,10,High,1
7412,1,10,Low,1
7412,4,2,High,2
7413,1,5,High,3
7413,1,7,High,2
7413,1,10,High,4
7413,1,10,Low,1
7413,1,13,Low,1
7414,1,10,High,1
7414,1,10,Low,4
7415,1,10,Low,1
7416,1,10,High,4
7416,1,10,Low,1
7417,1,5,High,3
7417,1,6,Low,1
7417,1,10,Low,3
7418,1,2,High,1
7418,1,5,High,1
7418,1,6,Low,2
7418,1,10,High,1
7418,1,10,Low,3
7418,1,13,Low,2
7419,1,5,High,1
7420,1,1,High,1
7420,1,6,Low,1
7420,1,10,High,2
7420,1,10,Low,5
7420,2,10,High,1
7421,1,5,High,1
7421,1,6,Low,8
7421,1,10,Low,2
7421,1,32,High,1
7422,1,10,Low,1
7423,1,6,Low,2
7423,1,10,Low,2
7424,1,1,High,1
7424,1,2,High,1
7424,1,10,High,2
7424,1,10,Low,3
7424,1,13,Low,1
7425,1,1,High,1
7425,1,1,Low,1
7425,1,5,High,3
7425,1,6,Low,1
7425,1,10,High,3
7425,1,10,Low,1
7426,1,10,Balanced,1
7426,1,10,High,8
7426,1,10,Low,7
7426,2,10,Low,1
7427,1,1,High,1
7427,1,2,High,1
7427,1,5,High,1
7427,1,6,Low,3
7427,1,10,High,2
7427,1,10,Low,2
7427,1,13,Low,1
7428,1,0,High,1
7428,1,2,High,2
7428,1,3,High,1
7428,1,5,High,1
7428,1,7,High,1
7428,1,10,Low,3
7429,1,1,High,1
7429,1,6,High,1
7429,1,6,Low,4
7429,1,10,High,1
7429,1,10,Low,3
7430,1,0,High,2
7430,1,1,High,1
7430,1,2,High,3
7430,1,5,High,4
7430,1,5,Low,1
7430,1,6,Low,6
7430,1,10,High,3
7430,1,10,Low,4
7430,4,1,High,1
7431,1,0,High,1
7431,1,1,High,1
7431,1,1,Low,1
7431,1,5,High,2
7431,1,5,Low,1
7431,1,6,Low,5
7431,1,10,High,3
7431,1,10,Low,2
7432,1,1,High,3
7432,1,10,High,4
7432,1,10,Low,3
7432,4,2,High,1
7433,1,5,High,1
7433,1,6,Low,1
7433,1,10,High,1
7433,1,13,Low,1
7434,1,6,Low,3
7434,1,10,Low,1
7434,4,1,High,1
7435,1,5,High,2
7435,1,5,Low,1
7435,1,6,Low,7
7435,1,10,Low,3
7435,1,13,Low,1
7436,1,5,Low,1
7436,1,6,Low,8
7436,1,10,High,1
7436,1,10,Low,3
7437,1,5,High,8
7437,1,6,Low,7
7437,1,7,Low,2
7437,1,10,High,2
7437,1,10,Low,2
7437,1,13,Low,2
7437,1,32,High,1
7438,1,5,High,1
7438,1,6,Low,2
7438,1,10,Balanced,2
7438,1,10,High,3
7438,1,10,Low,3
7439,1,1,High,2
7439,1,10,High,2
7439,1,10,Low,2
7439,2,10,High,1
7439,4,2,High,1
7440,1,5,High,1
7440,1,10,High,1
7440,1,10,Low,2
7441,1,10,High,2
7441,1,10,Low,2
7442,1,5,Low,1
7442,1,10,Low,2
7443,1,5,High,1
7443,1,6,Low,2
7443,1,10,Low,2
7443,1,13,High,1
7443,1,13,Low,1
7444,1,0,Low,1
7444,1,2,High,1
7444,1,5,High,1
7444,1,6,High,1
7444,1,10,Low,1
7445,1,5,High,1
7445,1,5,Low,1
7445,1,10,Low,2
7446,1,10,Low,2
7446,1,13,Low,1
7447,1,5,High,4
7447,1,10,Low,1
7447,1,13,Low,2
7448,1,5,Low,2
7448,1,6,Low,2
7448,1,10,Low,2
7448,1,13,Low,1
7448,4,1,High,1
7449,1,5,High,1
7449,1,10,High,1
7449,1,10,Low,4
7450,1,0,High,1
7450,1,5,High,1
7450,1,6,Low,3
7450,1,10,High,1
7450,1,10,Low,1
7450,1,13,Low,1
7451,1,5,Low,2
7451,1,10,Low,2
7452,1,0,High,1
7452,1,2,High,1
7452,1,5,High,2
7452,1,5,Low,1
7452,1,6,Low,2
7452,1,10,High,17
7452,1,10,Low,13
7452,2,10,High,4
7452,2,10,Low,1
7453,1,1,High,1
7453,1,6,Low,1
7453,1,10,High,2
7453,1,10,Low,2
7454,1,6,Low,1
7454,1,10,High,2
7454,1,10,Low,5
7455,1,1,High,1
7455,1,10,High,3
7455,1,10,Low,3
7456,1,10,Low,3
7457,1,10,Low,2
7458,1,5,High,3
7458,1,6,Low,2
7458,1,10,High,1
7458,1,10,Low,2
7458,4,13,Low,1
7459,1,1,High,1
7459,1,1,Low,1
7459,1,5,High,2
7459,1,10,Low,5
7459,1,13,Low,1
7460,1,5,High,2
7460,1,6,Low,2
7460,1,10,High,6
7460,1,10,Low,9
7460,4,2,High,1
7461,1,10,Low,4
7462,1,5,High,6
7462,1,6,Low,3
7462,1,10,High,3
7462,1,10,Low,3
7463,1,10,High,3
7463,1,10,Low,3
7463,1,13,Low,1
7464,1,10,Low,2
7465,1,5,High,1
7465,1,5,Low,1
7465,1,6,Low,1
7465,1,10,High,4
7465,1,10,Low,1
7465,1,13,Low,2
7465,2,10,Low,1
7466,1,0,High,1
7466,1,1,High,1
7466,1,10,High,5
7466,1,10,Low,4
7466,1,15,High,1
7467,1,2,High,1
7467,1,10,High,1
7467,1,10,Low,3
7468,1,5,High,8
7468,1,5,Low,3
7468,1,6,Low,1
7468,1,10,High,3
7468,1,10,Low,4
7469,1,5,High,2
7469,1,6,Low,1
7469,1,10,Low,4
7470,1,5,High,1
7470,1,6,Low,1
7470,1,10,High,3
7470,1,10,Low,2
7470,4,0,High,1
7471,1,0,High,1
7471,1,1,High,2
7471,1,1,Low,1
7471,1,2,High,2
7471,1,3,High,1
7471,1,5,High,6
7471,1,5,Low,2
7471,1,6,Low,3
7471,1,10,High,5
7471,1,10,Low,12
7471,1,13,Low,2
7472,1,1,High,1
7472,1,5,High,1
7472,1,5,Low,3
7472,1,6,Low,2
7472,1,10,High,8
7472,1,10,Low,10
7472,1,13,Low,1
7472,4,2,High,2
7473,1,1,High,2
7473,1,5,High,1
7473,1,10,High,4
7473,1,10,Low,5
7473,4,2,High,2
7474,1,10,High,3
7474,1,51,High,1
7474,2,10,High,1
7474,4,2,High,2
7475,1,0,High,1
7475,1,0,Low,1
7475,1,5,High,7
7475,1,5,Low,3
7475,1,6,Low,6
7475,1,10,High,3
7475,1,10,Low,3
7475,4,2,High,1
7476,1,10,Low,1
7477,1,5,High,1
7477,1,5,Low,1
7477,1,10,Low,2
7478,1,6,Low,4
7479,1,5,High,1
7479,1,10,High,4
7479,1,10,Low,3
7480,1,10,Low,5
7481,1,0,High,2
7481,1,2,High,1
7481,1,5,High,1
7481,1,10,High,1
7481,1,10,Low,3
7482,1,10,Low,2
7482,1,13,High,2
7483,1,0,High,1
7483,1,2,High,3
7483,1,5,High,1
7483,1,5,Low,2
7483,1,6,Low,5
7483,1,10,High,7
7483,1,10,Low,4
7483,4,2,High,1
7483,4,3,High,1
7484,1,5,High,1
7484,1,8,Low,1
7484,1,10,High,2
7484,1,10,Low,2
7485,1,10,Low,2
7486,1,10,High,2
7486,1,10,Low,6
7487,1,6,Low,1
7487,1,10,High,2
7487,1,10,Low,8
7487,3,2,High,1
7488,1,6,Low,1
7488,1,10,Low,3
7489,1,6,Low,1
7489,1,10,Low,2
7490,1,1,High,1
7490,1,2,High,1
7490,1,8,High,1
7490,1,10,Low,8
7490,1,12,High,1
7491,1,10,High,4
7491,1,10,Low,5
7491,4,2,High,1
7492,1,5,High,1
7492,1,6,Low,3
7492,1,10,Low,2
7492,1,13,Low,1
7493,1,5,High,1
7493,1,6,Low,3
7493,1,10,Low,3
7494,1,5,High,4
7494,1,6,Low,3
7494,1,10,Low,1
7495,1,5,Low,1
7495,1,10,High,1
7495,1,10,Low,2
7495,4,2,High,1
7496,1,6,Low,3
7496,1,7,High,1
7496,1,7,Low,2
7496,1,10,Low,2
7496,4,8,High,1
7497,1,1,High,1
7497,1,3,High,1
7497,1,6,Low,2
7497,2,10,Low,2
7498,1,10,High,1
7498,1,10,Low,1
7498,1,13,Low,1
7499,1,10,High,4
7499,1,10,Low,5
7500,1,2,High,1
7500,1,5,High,1
7500,1,6,Low,1
7500,1,10,High,1
7500,1,10,Low,7
7501,1,0,Low,1
7501,1,1,High,2
7501,1,2,High,1
7501,1,5,High,3
7501,1,6,Low,3
7501,1,10,High,2
7501,1,10,Low,3
7501,1,32,High,1
7501,3,1,High,1
7502,1,0,High,1
7502,1,2,High,1
7502,1,10,Low,6
7502,1,13,Low,1
7503,1,10,Low,5
7504,1,1,High,1
7504,1,5,High,3
7504,1,10,High,5
7505,1,0,High,3
7505,1,2,High,1
7505,1,5,High,2
7505,1,10,Low,2
7506,1,0,High,1
7506,1,10,High,3
7507,1,1,High,1
7507,1,2,High,1
7507,1,5,High,1
7507,1,6,Low,2
7507,1,10,Low,2
7508,1,10,Low,3
7508,1,13,Low,1
7509,1,2,High,1
7509,1,10,High,4
7509,1,10,Low,6
7509,4,2,High,3
7510,1,10,High,1
7510,3,1,High,1
7511,1,1,High,2
7511,1,5,High,2
7511,1,6,Low,4
7511,1,10,High,1
7511,1,10,Low,3
7511,1,13,Low,2
7511,1,32,High,1
7511,4,13,Low,1
7512,1,0,High,1
7512,1,1,High,1
7512,1,10,Low,2
7512,1,13,Low,2
7513,1,0,High,1
7513,1,1,High,1
7513,1,5,High,3
7513,1,5,Low,2
7513,1,10,High,1
7513,1,10,Low,1
7513,1,13,Low,3
7514,1,5,High,1
7514,1,10,High,1
7514,1,10,Low,5
7515,1,0,High,1
7515,1,1,High,1
7515,1,2,High,1
7515,1,10,High,3
7515,1,10,Low,6
7516,1,1,High,2
7516,1,2,High,3
7516,1,6,Low,5
7516,1,10,High,1
7516,1,10,Low,8
7517,1,6,Low,1
7517,1,10,High,3
7517,1,10,Low,13
7517,1,13,Low,1
7517,4,2,High,1
7518,1,1,High,2
7518,1,10,High,5
7518,1,10,Low,5
7519,1,0,High,1
7519,1,6,Low,2
7519,1,10,Low,8
7519,1,13,Low,1
7519,1,32,High,1
7520,1,5,High,4
7520,1,10,Low,1
7521,1,0,High,1
7521,1,6,Low,7
7521,1,10,High,1
7521,1,10,Low,1
7522,1,2,High,2
7522,1,6,Low,1
7522,1,10,High,6
7522,1,10,Low,11
7522,1,12,High,1
7522,4,2,High,1
7523,1,1,High,1
7523,1,5,High,3
7523,1,5,Low,1
7523,1,6,Low,1
7523,1,10,High,1
7523,1,10,Low,4
7524,1,1,High,2
7524,1,6,Low,4
7524,1,10,Low,5
7524,2,10,High,2
7525,1,6,Low,5
7525,1,10,High,1
7525,1,13,Low,4
7526,1,2,High,1
7526,1,10,High,2
7526,1,10,Low,1
7526,1,13,Low,1
7526,3,2,High,1
7527,1,10,High,1
7527,1,10,Low,4
7528,1,0,High,1
7528,1,1,Low,1
7528,1,5,Low,4
7528,1,6,Low,1
7528,1,10,High,1
7528,1,10,Low,4
7528,1,13,Low,3
7528,4,13,Low,1
7529,1,1,High,1
7529,1,7,High,1
7529,1,7,Low,1
7529,1,10,High,3
7529,1,10,Low,2
7530,1,10,High,1
7530,1,10,Low,2
7531,1,10,Low,2
7532,1,1,High,1
7532,1,6,Low,4
7532,1,10,High,2
7532,1,10,Low,1
7532,2,10,Low,1
7533,1,5,Low,1
7533,1,6,Low,8
7533,1,10,Low,2
7533,1,13,Low,4
7533,4,7,High,1
7533,4,7,Low,5
7534,1,5,High,1
7534,1,6,Low,4
7534,1,10,High,1
7534,1,10,Low,3
7534,1,13,Low,1
7535,1,1,High,1
7535,1,10,Low,2
7535,4,2,High,2
7536,1,5,High,1
7536,1,6,Low,1
7536,1,10,High,2
7536,1,10,Low,2
7536,1,12,High,1
7536,4,2,High,1
7537,1,0,Low,1
7537,1,10,Low,3
7537,1,13,Low,1
7538,1,5,High,3
7538,1,5,Low,1
7538,1,6,Low,2
7538,1,10,Low,4
7538,1,13,Low,1
7539,1,6,Low,1
7539,1,10,High,2
7539,1,10,Low,1
7540,1,0,Low,5
7540,1,5,High,1
7540,1,10,High,3
7540,1,10,Low,6
7540,1,13,Low,1
7541,1,10,Low,1
7542,1,5,High,2
7542,1,6,Low,3
7542,1,10,High,1
7542,1,10,Low,8
7542,3,17,High,1
7542,4,13,Low,1
