,customer_no,owner_indic,count,acct_type,utilization,utilization_count,cur_balance_amt,enquiry_count
14866,4846,1,3,10,Low,3,3063,3
14867,4847,1,7,5,High,2,261043,15
14868,4847,1,7,5,Low,2,261043,15
14869,4847,1,7,6,Low,1,3000,1
14870,4847,1,7,10,Low,1,0,3
14871,4847,1,7,13,Low,1,0,2
14872,4848,1,14,5,Low,4,0,4
14873,4848,1,14,6,Low,4,6080,3
14874,4848,1,14,10,High,1,0,16
14875,4848,1,14,10,Low,2,0,16
14876,4848,1,14,13,Low,1,0,1
14877,4848,4,1,2,High,1,1241538,4
14878,4849,1,3,5,High,1,134500,11
14879,4849,1,3,10,Low,2,19767,6
14880,4850,1,14,6,Low,2,0,1
14881,4850,1,14,10,High,3,80917,13
14882,4850,1,14,10,Low,8,80917,13
14883,4850,4,1,2,High,1,0,2
14884,4851,1,1,10,Low,1,910,3
14885,4852,1,1,10,High,1,19424,17
14886,4852,2,2,10,High,2,65467,17
14887,4853,1,9,5,High,2,317835,6
14888,4853,4,1,5,High,1,0,6
14889,4853,1,9,10,High,1,62671,11
14890,4853,1,9,10,Low,5,62671,11
14891,4854,1,10,10,High,1,83880,15
14892,4854,1,10,10,Low,2,83880,15
14893,4854,1,10,13,Low,1,0,2
14894,4855,1,9,10,High,3,326214,16
14895,4855,1,9,10,Low,4,326214,16
14896,4856,1,1,10,Low,1,15993,1
14897,4857,1,6,10,High,1,125099,20
14898,4857,1,6,10,Low,3,125099,20
14899,4857,1,6,13,Low,2,0,1
14900,4858,1,3,10,Low,3,5457,3
14901,4859,1,19,5,High,2,561739,5
14902,4859,1,19,5,Low,2,561739,5
14903,4859,1,19,6,Low,7,17244,3
14904,4859,1,19,7,High,1,350000,1
14905,4859,1,19,10,High,6,505277,5
14906,4859,1,19,13,Low,1,0,1
14907,4859,4,1,2,High,1,917100,3
14908,4860,1,5,1,High,1,499242,2
14909,4860,1,5,5,High,2,159242,4
14910,4860,1,5,6,Low,1,0,4
14911,4860,1,5,10,Low,1,24472,6
14912,4861,1,10,5,High,1,390000,7
14913,4861,1,10,10,High,4,54540,24
14914,4861,1,10,10,Low,5,54540,24
14915,4862,1,9,5,High,1,0,4
14916,4862,1,9,10,High,2,564580,14
14917,4862,1,9,10,Low,4,564580,14
14918,4863,1,6,6,Low,1,57500,1
14919,4863,1,6,10,High,1,-4626,5
14920,4863,1,6,10,Low,2,-4626,5
14921,4864,1,14,5,High,2,199785,5
14922,4864,1,14,5,Low,1,199785,5
14923,4864,1,14,6,Low,7,24846,3
14924,4864,1,14,10,High,2,41595,8
14925,4864,1,14,10,Low,1,41595,8
14926,4864,1,14,13,Low,1,0,2
14927,4865,1,10,10,High,1,176592,7
14928,4865,1,10,10,Low,6,176592,7
14929,4865,1,10,13,Low,1,5947,2
14930,4867,1,10,10,High,1,53353,5
14931,4867,1,10,10,Low,4,53353,5
14932,4868,1,4,10,High,1,147729,2
14933,4868,1,4,10,Low,3,147729,2
14934,4869,1,2,1,High,1,214200,2
14935,4870,1,4,2,High,1,0,4
14936,4870,3,1,2,High,1,0,4
14937,4870,1,4,5,High,1,0,2
14938,4870,1,4,10,Low,1,8090,7
14939,4870,1,4,13,Low,1,21567,1
14940,4871,1,10,10,High,2,320256,16
14941,4871,1,10,10,Low,5,320256,16
14942,4871,4,1,5,High,1,143052,3
14943,4872,1,2,1,High,1,308334,1
14944,4872,1,2,10,Low,1,14797,5
14945,4873,1,2,10,Low,2,8524,6
14946,4874,1,7,0,High,1,0,2
14947,4874,1,7,6,Low,6,82181,4
14948,4875,1,3,8,High,1,0,2
14949,4875,1,3,10,Low,2,17128,2
14950,4876,1,3,10,Low,1,0,10
14951,4876,1,3,12,High,2,75575,1
14952,4877,1,12,5,High,2,178834,6
14953,4877,1,12,5,Low,1,178834,6
14954,4877,1,12,6,Low,5,35887,2
14955,4877,1,12,10,Low,4,36989,6
14956,4878,1,2,10,Low,2,9610,23
14957,4879,1,14,5,High,5,0,21
14958,4879,1,14,10,High,3,80605,19
14959,4879,1,14,10,Low,6,80605,19
14960,4880,1,5,10,Low,2,10914,3
14961,4880,1,5,13,Low,2,19763,3
14962,4881,1,9,1,High,2,657181,7
14963,4881,4,2,1,High,2,-6020,7
14964,4881,1,9,2,High,1,0,1
14965,4881,1,9,6,Low,2,38635,1
14966,4881,1,9,10,Low,4,11506,6
14967,4882,1,8,5,Low,2,43372,5
14968,4882,1,8,6,Low,2,0,1
14969,4882,1,8,10,Low,4,18291,11
14970,4883,1,5,0,Low,1,24411,1
14971,4883,1,5,1,High,1,106836,2
14972,4883,1,5,10,High,1,33611,8
14973,4883,1,5,10,Low,2,33611,8
14974,4884,1,26,5,High,6,707946,30
14975,4884,1,26,10,High,7,544123,38
14976,4884,1,26,10,Low,12,544123,38
14977,4885,1,5,5,High,1,0,5
14978,4885,1,5,10,Low,3,-13530,13
14979,4886,1,2,10,Low,2,37118,3
14980,4887,1,3,10,Low,3,44,3
14981,4888,1,5,5,Low,2,59890,4
14982,4888,1,5,10,Low,3,81899,3
14983,4889,1,3,6,Low,2,35100,2
14984,4889,1,3,10,Low,1,14208,2
14985,4890,1,4,1,High,2,0,2
14986,4890,1,4,10,Low,2,126926,3
14987,4891,1,8,10,High,3,11914,7
14988,4891,1,8,10,Low,5,11914,7
14989,4891,2,1,10,High,1,0,7
14990,4891,4,1,2,High,1,6641561,2
14991,4892,1,15,5,High,1,10097,9
14992,4892,1,15,5,Low,1,10097,9
14993,4892,1,15,6,Low,1,0,5
14994,4892,1,15,10,High,3,137327,20
14995,4892,1,15,10,Low,4,137327,20
14996,4893,1,2,5,High,1,307636,3
14997,4893,1,2,10,Low,1,-1,1
14998,4894,1,6,6,Low,1,0,1
14999,4894,1,6,8,High,1,103536,1
15000,4894,1,6,10,Low,2,69391,3
15001,4894,1,6,13,Low,2,0,2
15002,4895,1,1,10,Low,1,6240,5
15003,4896,1,2,6,Low,1,20600,1
15004,4897,1,3,1,High,1,389950,6
15005,4897,1,3,5,High,1,131437,3
15006,4897,1,3,6,Low,1,0,2
15007,4898,1,1,10,Low,1,9822,3
15008,4899,1,6,5,High,1,236923,1
15009,4899,1,6,6,Low,1,0,1
15010,4899,1,6,10,Low,3,64522,5
15011,4900,1,6,1,High,1,99379,1
15012,4900,1,6,7,High,3,0,1
15013,4900,1,6,10,Low,1,2211,13
15014,4900,1,6,13,Low,1,0,1
15015,4900,4,1,5,High,1,750000,1
15016,4901,1,6,5,High,2,212532,6
15017,4901,1,6,6,Low,1,0,2
15018,4901,1,6,10,High,1,106629,2
15019,4901,1,6,10,Low,1,106629,2
15020,4901,1,6,13,Low,1,0,2
15021,4902,1,2,10,Low,2,123,3
15022,4903,1,5,1,High,1,60664,5
15023,4903,1,5,10,Low,2,5985,4
15024,4903,1,5,13,Low,2,6885,1
15025,4904,1,12,5,High,2,644602,18
15026,4904,1,12,6,Low,2,0,1
15027,4904,1,12,10,High,2,86261,22
15028,4904,1,12,10,Low,5,86261,22
15029,4905,1,22,0,High,2,173422,1
15030,4905,1,22,6,Low,1,0,1
15031,4905,1,22,10,Low,4,55028,5
15032,4906,1,2,10,Low,2,4257,1
15033,4906,2,1,10,High,1,0,1
15034,4907,1,12,10,High,3,21490,11
15035,4907,1,12,10,Low,7,21490,11
15036,4907,1,12,13,Low,1,0,1
15037,4908,1,13,6,Low,8,41665,3
15038,4908,1,13,10,High,1,111118,11
15039,4908,1,13,10,Low,4,111118,11
15040,4909,1,13,5,High,1,35001,3
15041,4909,1,13,6,Low,9,28440,4
15042,4909,1,13,10,High,1,24905,11
15043,4909,1,13,10,Low,1,24905,11
15044,4909,1,13,13,Low,1,0,3
15045,4910,1,6,5,High,1,75810,1
15046,4910,1,6,10,Low,3,39241,4
15047,4911,1,1,10,Low,1,15327,8
15048,4912,1,1,10,Low,1,0,1
15049,4913,1,2,10,Low,2,6362,4
15050,4914,1,6,1,High,1,0,5
15051,4914,1,6,5,Low,2,0,1
15052,4914,1,6,10,High,1,11235,3
15053,4914,1,6,13,Low,2,0,2
15054,4915,1,1,10,Low,1,3388,1
15055,4916,1,5,10,High,2,93135,21
15056,4916,1,5,10,Low,1,93135,21
15057,4917,1,13,10,High,1,22708,8
15058,4917,1,13,10,Low,2,22708,8
15059,4918,1,1,5,High,1,189830,4
15060,4918,4,1,2,High,1,994564,5
15061,4919,1,5,6,Low,1,0,1
15062,4919,1,5,10,High,1,16895,13
15063,4919,1,5,10,Low,2,16895,13
15064,4919,1,5,13,Low,1,0,2
15065,4919,4,1,13,Low,1,14925,2
15066,4920,1,17,0,High,1,0,1
15067,4920,1,17,5,High,2,0,4
15068,4920,1,17,10,High,5,240445,15
15069,4920,1,17,10,Low,9,240445,15
15070,4920,4,1,1,High,1,2478844,1
15071,4921,1,2,10,Low,2,38848,6
15072,4922,1,14,1,High,1,0,2
15073,4922,1,14,5,High,2,0,9
15074,4922,1,14,6,Low,10,28140,1
15075,4922,1,14,10,Low,1,0,4
15076,4924,1,21,5,High,1,97589,2
15077,4924,1,21,6,Low,2,1363,1
15078,4924,1,21,10,High,10,160678,23
15079,4924,1,21,10,Low,8,160678,23
15080,4925,1,2,10,Low,2,25543,6
15081,4926,1,4,10,Low,4,68647,6
15082,4926,4,1,1,High,1,164811,1
15083,4927,1,6,6,Low,3,23885,1
15084,4927,1,6,10,High,1,56371,4
15085,4927,1,6,10,Low,1,56371,4
15086,4927,1,6,13,Low,1,0,1
15087,4928,1,5,6,High,1,60036,1
15088,4928,1,5,6,Low,1,60036,1
15089,4928,1,5,10,Low,2,0,6
15090,4928,1,5,13,Low,1,0,1
15091,4929,1,3,10,High,1,70256,7
15092,4929,1,3,10,Low,1,70256,7
15093,4930,1,18,5,High,1,0,10
15094,4930,1,18,5,Low,1,0,10
15095,4930,1,18,7,Low,1,37000,1
15096,4930,1,18,10,High,5,280279,25
15097,4930,1,18,10,Low,9,280279,25
15098,4931,1,37,1,High,4,825526,7
15099,4931,1,37,2,High,1,1676386,7
15100,4931,4,2,2,High,2,806974,7
15101,4931,1,37,4,High,1,261245,1
15102,4931,1,37,5,High,6,198557,19
15103,4931,1,37,6,Low,1,0,2
15104,4931,1,37,7,High,1,450000,1
15105,4931,1,37,10,High,9,1203076,29
15106,4931,1,37,10,Low,11,1203076,29
15107,4932,1,3,5,High,1,0,13
15108,4932,1,3,10,Low,2,25088,5
15109,4933,1,3,10,High,1,14865,7
15110,4933,1,3,10,Low,2,14865,7
15111,4934,1,13,1,High,1,80062,1
15112,4934,1,13,7,High,1,0,1
15113,4934,1,13,10,High,2,127574,21
15114,4934,1,13,10,Low,9,127574,21
15115,4935,1,14,10,High,7,432913,10
15116,4935,1,14,10,Low,7,432913,10
15117,4936,1,17,1,High,3,742661,9
15118,4936,4,4,1,High,1,437262,9
15119,4936,1,17,6,Low,2,0,3
15120,4936,1,17,7,High,1,200000,1
15121,4936,1,17,7,Low,5,200000,1
15122,4936,1,17,10,High,1,96168,12
15123,4936,1,17,10,Low,2,96168,12
15124,4936,1,17,51,High,1,369328,2
15125,4937,1,4,5,High,1,150000,2
15126,4937,1,4,10,Low,2,26987,3
15127,4937,1,4,13,Low,1,44648,2
15128,4938,1,1,10,Low,1,30114,2
15129,4939,1,4,10,High,1,83287,6
15130,4939,1,4,10,Low,2,83287,6
15131,4940,1,2,10,Low,2,26355,6
15132,4941,1,3,1,High,1,215953,2
15133,4941,1,3,10,Low,2,70523,1
15134,4942,1,9,7,Low,1,61000,1
15135,4942,1,9,10,High,2,293171,17
15136,4942,1,9,10,Low,3,293171,17
15137,4942,1,9,13,Low,2,0,1
15138,4943,1,15,10,High,5,13829,18
15139,4943,1,15,10,Low,10,13829,18
15140,4943,2,2,10,High,2,0,18
15141,4944,1,2,6,Low,1,1992,2
15142,4944,1,2,13,Low,1,0,1
15143,4945,1,2,10,Low,2,69683,6
15144,4946,1,4,10,High,2,16198,13
15145,4946,1,4,10,Low,2,16198,13
15146,4947,1,11,6,Low,10,7165,5
15147,4948,1,20,5,High,1,0,8
15148,4948,1,20,6,Low,3,0,1
15149,4948,1,20,10,High,3,51353,31
15150,4948,1,20,10,Low,13,51353,31
15151,4948,2,1,10,Low,1,-1,31
15152,4948,4,3,1,High,1,254099,2
15153,4948,4,3,2,High,2,6414000,2
15154,4949,1,5,10,High,3,161057,10
15155,4949,1,5,10,Low,1,161057,10
15156,4949,1,5,13,Low,1,16266,2
15157,4950,1,3,5,High,1,54942,1
15158,4950,1,3,10,Low,2,11972,10
15159,4952,1,22,5,High,1,0,8
15160,4952,1,22,10,High,7,66774,19
15161,4952,1,22,10,Low,14,66774,19
15162,4953,1,2,5,Low,1,0,2
15163,4953,1,2,10,Low,1,16798,3
15164,4954,1,3,10,Low,2,20436,4
15165,4954,1,3,13,Low,1,0,1
15166,4955,1,2,10,Low,2,19521,7
15167,4956,1,2,10,High,1,77598,2
15168,4956,1,2,10,Low,1,77598,2
15169,4957,1,2,10,Low,2,28576,5
15170,4958,1,10,6,Low,4,4160,4
15171,4958,1,10,10,Low,3,55606,2
15172,4958,1,10,13,Low,1,0,1
15173,4959,1,1,10,Low,1,6590,2
15174,4960,1,7,1,High,1,422000,1
15175,4960,1,7,6,Low,1,4501,4
15176,4960,1,7,10,High,1,105982,12
15177,4960,1,7,10,Low,1,105982,12
15178,4960,1,7,13,Low,3,26778,3
15179,4961,1,2,10,Low,2,22820,8
15180,4962,1,5,5,High,1,139742,5
15181,4962,1,5,10,Low,4,2508,11
15182,4962,2,1,10,Low,1,1186,11
15183,4963,1,5,6,Low,2,0,2
15184,4963,1,5,10,Low,2,48776,3
15185,4964,1,6,10,High,2,69904,30
15186,4964,1,6,10,Low,3,69904,30
15187,4965,1,2,5,High,1,280812,4
15188,4965,1,2,10,High,1,6040,7
15189,4966,1,10,5,Low,1,52039,8
15190,4966,1,10,6,Low,4,44983,4
15191,4966,1,10,10,Low,4,122395,12
15192,4966,1,10,13,Low,1,0,1
15193,4967,1,4,10,Low,2,26519,1
15194,4967,1,4,13,Low,1,0,1
15195,4969,1,3,10,Low,2,19044,6
15196,4969,1,3,13,Low,1,0,1
15197,4969,4,2,2,High,2,4527098,2
15198,4970,1,4,5,High,1,306720,3
15199,4970,1,4,10,High,2,110753,6
15200,4970,4,1,2,High,1,773216,3
15201,4971,1,7,1,High,1,375301,3
15202,4971,1,7,5,High,3,544860,13
15203,4971,1,7,10,High,1,2594,3
15204,4971,1,7,10,Low,1,2594,3
15205,4972,1,3,5,High,1,257730,2
15206,4972,1,3,10,Low,2,71681,6
15207,4973,1,1,10,Low,1,54704,2
15208,4974,1,2,1,High,1,363709,1
15209,4974,1,2,10,Low,1,5439,3
15210,4975,1,14,5,High,1,0,11
15211,4975,1,14,6,Low,7,70178,4
15212,4975,1,14,10,High,2,135498,11
15213,4975,1,14,10,Low,2,135498,11
15214,4975,1,14,13,Low,1,0,1
15215,4976,1,15,5,High,2,0,3
15216,4976,1,15,6,Low,5,0,1
15217,4976,1,15,10,High,5,181635,10
15218,4976,1,15,10,Low,3,181635,10
15219,4977,1,6,6,Low,4,17750,1
15220,4977,1,6,10,Low,2,7615,5
15221,4978,1,5,2,High,1,1167021,1
15222,4978,1,5,10,High,1,530844,3
15223,4978,1,5,10,Low,2,530844,3
15224,4979,1,20,0,Low,1,44384,1
15225,4979,1,20,1,High,3,0,2
15226,4979,1,20,2,High,1,797430,4
15227,4979,1,20,3,High,1,3623729,3
15228,4979,4,1,3,High,1,0,3
15229,4979,1,20,5,High,5,200871,8
15230,4979,1,20,6,Low,3,0,1
15231,4979,1,20,10,High,1,177646,8
15232,4979,1,20,10,Low,3,177646,8
15233,4980,1,12,7,High,3,88000,1
15234,4980,1,12,10,High,4,207996,17
15235,4980,1,12,10,Low,5,207996,17
15236,4981,1,11,5,High,1,189907,5
15237,4981,1,11,6,Low,1,0,3
15238,4981,1,11,10,Low,4,7792,9
15239,4981,1,11,13,Low,1,0,4
15240,4981,1,11,51,High,4,1243802,4
15241,4981,4,1,2,High,1,971147,1
15242,4982,1,17,5,High,4,483747,10
15243,4982,1,17,10,High,4,390943,29
15244,4982,1,17,10,Low,8,390943,29
15245,4983,1,7,5,Low,2,64870,3
15246,4983,1,7,6,Low,3,0,2
15247,4983,1,7,10,High,1,26514,10
15248,4984,1,5,10,High,1,83373,12
15249,4984,1,5,10,Low,4,83373,12
15250,4985,1,2,10,Low,2,69150,4
15251,4986,1,8,5,High,3,257126,8
15252,4986,1,8,10,High,1,12531,6
15253,4986,1,8,10,Low,2,12531,6
15254,4987,1,3,10,Low,2,536,8
15255,4988,1,9,6,Low,5,27056,2
15256,4988,1,9,10,High,1,104949,8
15257,4988,1,9,10,Low,2,104949,8
15258,4988,1,9,13,Low,1,0,2
15259,4989,1,4,1,High,1,0,9
15260,4989,1,4,6,Low,2,20906,3
15261,4989,1,4,10,High,1,0,3
15262,4990,1,16,5,High,6,488015,16
15263,4990,1,16,10,High,1,124081,23
15264,4990,1,16,10,Low,8,124081,23
15265,4990,1,16,13,Low,1,0,1
15266,4991,1,12,5,High,1,158494,2
15267,4991,1,12,6,Low,2,7153,1
15268,4991,1,12,10,High,3,68255,14
15269,4991,1,12,10,Low,5,68255,14
15270,4991,1,12,13,Low,1,0,2
15271,4992,1,1,10,Low,1,8756,10
15272,4993,1,11,5,High,1,70890,16
15273,4993,1,11,5,Low,2,70890,16
15274,4993,1,11,7,High,3,227181,1
15275,4993,1,11,7,Low,2,227181,1
15276,4993,1,11,10,High,1,158086,10
15277,4993,1,11,10,Low,1,158086,10
15278,4993,1,11,13,Low,1,0,1
15279,4993,4,3,2,High,3,0,2
15280,4994,1,4,5,High,2,163948,5
15281,4994,1,4,10,High,2,78211,18
15282,4995,1,12,1,High,2,0,2
15283,4995,1,12,5,High,3,0,8
15284,4995,1,12,10,High,3,204049,17
15285,4995,1,12,10,Low,3,204049,17
15286,4995,2,1,10,Low,1,0,17
15287,4995,1,12,13,Low,1,0,1
15288,4996,1,5,7,High,3,0,2
15289,4996,1,5,10,Low,2,52571,6
15290,4997,1,5,6,Low,2,33600,2
15291,4997,1,5,10,High,1,120238,9
15292,4997,1,5,10,Low,2,120238,9
15293,4998,1,4,7,Low,2,0,1
15294,4998,1,4,10,High,1,30450,2
15295,4998,1,4,10,Low,1,30450,2
15296,4999,1,14,5,High,2,104090,2
15297,4999,1,14,6,Low,2,7800,4
15298,4999,1,14,10,High,1,73800,12
15299,4999,1,14,10,Low,4,73800,12
15300,4999,1,14,13,Low,3,52741,2
15301,5000,1,2,10,Low,2,6911,3
15302,5001,1,3,6,Low,2,30720,2
15303,5001,1,3,10,High,1,0,1
15304,5001,4,1,1,High,1,486330,3
15305,5002,1,4,10,Low,4,119567,9
15306,5003,1,9,5,High,1,115026,4
15307,5003,1,9,6,Low,3,0,2
15308,5003,1,9,10,Low,5,20258,25
15309,5004,1,10,1,High,1,349823,5
15310,5004,1,10,5,High,1,167179,7
15311,5004,1,10,10,High,3,116562,13
15312,5004,1,10,10,Low,4,116562,13
15313,5004,1,10,13,Low,1,0,2
15314,5005,1,4,5,High,1,146942,9
15315,5005,1,4,6,Low,1,852,3
15316,5005,1,4,10,Low,2,55792,8
15317,5006,1,6,10,High,1,110887,31
15318,5006,1,6,10,Low,5,110887,31
15319,5007,1,12,5,High,2,112000,34
15320,5007,1,12,5,Low,6,112000,34
15321,5007,1,12,6,High,1,0,1
15322,5007,1,12,10,High,1,0,13
15323,5007,1,12,10,Low,1,0,13
15324,5008,1,8,5,High,2,182336,10
15325,5008,1,8,10,High,2,289524,26
15326,5008,1,8,10,Low,3,289524,26
15327,5009,1,22,2,High,2,718682,1
15328,5009,4,2,2,High,1,0,1
15329,5009,1,22,10,High,8,24483,74
15330,5009,1,22,10,Low,8,24483,74
15331,5010,1,1,10,Low,1,8680,5
15332,5010,3,1,13,Low,1,0,1
15333,5010,4,1,13,Low,1,0,1
15334,5011,1,2,1,High,1,0,1
15335,5011,1,2,10,Low,1,0,2
15336,5012,1,1,10,Low,1,3702,2
15337,5013,1,1,10,Low,1,2067,4
15338,5014,1,2,10,High,1,28119,2
15339,5014,1,2,10,Low,1,28119,2
15340,5015,1,5,5,High,3,304936,10
15341,5015,1,5,10,High,1,25000,7
15342,5015,1,5,10,Low,1,25000,7
15343,5016,1,18,5,Low,1,0,3
15344,5016,1,18,6,High,1,56791,9
15345,5016,1,18,6,Low,14,56791,9
15346,5016,1,18,10,High,2,32208,4
15347,5017,1,13,5,High,2,180780,4
15348,5017,1,13,10,High,4,74697,8
15349,5017,1,13,10,Low,6,74697,8
15350,5017,1,13,13,Low,1,0,1
15351,5018,1,2,5,High,1,166369,9
15352,5018,1,2,10,Low,1,19809,4
15353,5019,1,12,5,High,1,0,1
15354,5019,1,12,5,Low,1,0,1
15355,5019,1,12,10,High,2,13628,13
15356,5019,1,12,10,Low,6,13628,13
15357,5020,1,3,10,High,1,80999,2
15358,5020,1,3,13,Low,2,0,3
15359,5021,1,5,5,High,1,0,4
15360,5021,1,5,10,High,1,131555,11
15361,5021,1,5,10,Low,3,131555,11
15362,5021,4,1,2,High,1,0,1
15363,5022,1,7,10,High,2,145959,23
15364,5022,1,7,10,Low,4,145959,23
15365,5023,1,14,5,High,3,243125,17
15366,5023,1,14,6,Low,7,30784,8
15367,5023,1,14,10,High,1,27503,11
15368,5023,1,14,10,Low,3,27503,11
15369,5024,1,7,5,High,1,181794,4
15370,5024,1,7,10,High,1,266091,12
15371,5024,1,7,10,Low,4,266091,12
15372,5024,1,7,13,Low,1,0,1
15373,5025,1,5,10,High,2,153918,4
15374,5025,1,5,10,Low,3,153918,4
15375,5026,1,3,10,Low,2,89974,7
15376,5026,1,3,13,Low,1,0,1
15377,5027,1,16,1,High,1,163826,3
15378,5027,1,16,2,High,1,0,1
15379,5027,1,16,10,High,4,52467,31
15380,5027,1,16,10,Low,9,52467,31
15381,5027,2,1,10,Low,1,-1,31
15382,5027,1,16,13,Low,1,0,1
15383,5028,1,11,10,High,3,192795,21
15384,5028,1,11,10,Low,8,192795,21
15385,5029,1,11,5,High,3,277630,13
15386,5029,1,11,10,High,3,352718,23
15387,5029,1,11,10,Low,5,352718,23
15388,5030,1,10,5,Low,1,23930,1
15389,5030,1,10,6,Low,5,20298,2
15390,5030,1,10,10,High,1,11113,2
15391,5030,1,10,10,Low,1,11113,2
15392,5030,1,10,13,Low,2,22612,2
15393,5031,1,1,10,Low,1,33315,1
15394,5032,1,2,10,Low,1,4625,4
15395,5033,1,15,5,Low,1,0,4
15396,5033,1,15,10,Balanced,1,108459,14
15397,5033,1,15,10,High,3,108459,14
15398,5033,1,15,10,Low,9,108459,14
15399,5034,1,4,5,High,2,163218,4
15400,5034,1,4,10,Low,1,27910,14
15401,5035,1,3,6,Low,1,0,1
15402,5036,1,4,5,High,1,49622,4
15403,5036,1,4,6,Low,2,16740,1
15404,5036,1,4,10,Low,1,0,10
15405,5037,1,9,5,High,1,105935,2
15406,5037,1,9,6,Low,6,21870,3
15407,5037,1,9,10,Low,1,19384,1
15408,5038,1,20,1,High,3,143089,5
15409,5038,1,20,2,High,2,1515426,9
15410,5038,4,1,2,High,1,0,9
15411,5038,1,20,5,Low,1,0,1
15412,5038,1,20,6,Low,1,0,3
15413,5038,1,20,10,High,6,27517,16
15414,5038,1,20,10,Low,4,27517,16
15415,5038,1,20,13,Low,1,0,1
15416,5039,1,3,5,High,1,103000,2
15417,5039,1,3,10,Low,1,18780,5
15418,5040,1,2,10,Low,2,7344,5
15419,5041,1,2,6,Low,1,5885,3
15420,5041,1,2,10,High,1,14280,1
15421,5042,1,5,10,High,1,50012,5
15422,5042,1,5,10,Low,2,50012,5
15423,5042,1,5,13,Low,1,0,1
15424,5042,4,1,8,High,1,1072741,2
15425,5043,1,11,5,High,3,243377,8
15426,5043,1,11,5,Low,1,243377,8
15427,5043,1,11,6,Low,4,31900,1
15428,5043,1,11,10,High,1,558,9
15429,5043,1,11,10,Low,2,558,9
15430,5043,4,1,2,High,1,1018317,1
15431,5044,1,3,10,Low,3,22126,3
15432,5045,1,17,1,High,1,400415,7
15433,5045,1,17,5,High,1,66611,1
15434,5045,1,17,6,High,3,6400,1
15435,5045,1,17,6,Low,4,6400,1
15436,5045,1,17,7,High,4,109000,2
15437,5045,1,17,10,High,2,86172,11
15438,5045,1,17,10,Low,1,86172,11
15439,5046,1,7,5,High,2,119557,6
15440,5046,1,7,7,Low,2,0,7
15441,5046,1,7,10,High,1,89637,12
15442,5046,1,7,10,Low,1,89637,12
15443,5046,1,7,13,Low,1,24835,1
15444,5047,1,9,1,High,1,87947,1
15445,5047,1,9,5,High,4,617637,9
15446,5047,1,9,5,Low,1,617637,9
15447,5047,1,9,10,High,1,43334,4
15448,5047,1,9,10,Low,1,43334,4
15449,5048,1,19,5,High,2,161917,4
15450,5048,1,19,6,Low,11,30497,5
15451,5048,1,19,10,High,2,135845,14
15452,5048,1,19,10,Low,3,135845,14
15453,5048,1,19,13,Low,1,0,3
15454,5049,4,1,2,High,1,192330,1
15455,5050,1,8,5,High,1,106700,1
15456,5050,1,8,6,Low,2,0,1
15457,5050,1,8,10,High,2,108123,7
15458,5050,1,8,10,Low,2,108123,7
15459,5051,1,9,5,High,2,637252,3
15460,5051,1,9,5,Low,1,637252,3
15461,5051,1,9,6,Low,1,0,1
15462,5051,1,9,10,High,4,115239,7
15463,5051,1,9,10,Low,1,115239,7
15464,5052,1,2,10,Low,2,481,3
15465,5054,1,3,10,High,1,57799,5
15466,5054,1,3,10,Low,1,57799,5
15467,5054,1,3,13,Low,1,0,2
15468,5055,1,3,5,High,1,244781,7
15469,5055,1,3,6,Low,1,0,1
15470,5055,1,3,10,Low,1,13271,4
15471,5056,1,9,6,Low,7,89911,4
15472,5056,1,9,10,Low,2,35517,6
15473,5057,1,5,10,High,1,31648,4
15474,5057,1,5,10,Low,2,31648,4
15475,5058,1,2,10,Low,2,11717,4
15476,5059,1,13,1,High,2,235164,6
15477,5059,4,2,1,High,1,0,6
15478,5059,1,13,5,Low,2,0,2
15479,5059,1,13,10,Low,1,0,4
15480,5059,1,13,13,Low,1,0,2
15481,5059,4,2,3,High,1,2223770,2
15482,5060,1,6,3,High,1,388026,1
15483,5060,1,6,10,Low,3,14373,6
15484,5060,1,6,13,Low,2,0,2
15485,5061,1,5,5,High,1,192046,2
15486,5061,1,5,10,Low,4,65136,21
15487,5062,1,5,10,High,1,2928,10
15488,5062,1,5,10,Low,4,2928,10
15489,5063,1,7,5,Low,1,5755,2
15490,5063,1,7,10,High,4,139708,35
15491,5063,1,7,10,Low,2,139708,35
15492,5064,1,9,1,High,4,3061545,18
15493,5064,1,9,2,High,1,0,32
15494,5064,4,8,2,High,4,0,32
15495,5064,1,9,10,High,2,22440,7
15496,5064,1,9,10,Low,1,22440,7
15497,5064,1,9,51,High,1,139633,2
15498,5064,4,8,3,High,4,0,3
15499,5065,1,2,5,High,1,53566,3
15500,5065,1,2,10,High,1,163278,4
15501,5066,1,3,10,Low,3,37406,5
15502,5067,1,2,10,Low,2,55223,2
15503,5068,1,4,1,High,2,951709,3
15504,5068,1,4,10,Low,2,38134,2
15505,5069,1,5,10,High,4,232237,11
15506,5069,1,5,13,Low,1,0,1
15507,5070,1,5,1,High,1,60080,13
15508,5070,1,5,10,High,1,14980,4
15509,5070,2,1,10,High,1,0,4
15510,5071,1,6,10,High,1,39730,9
15511,5071,1,6,10,Low,5,39730,9
15512,5072,1,2,10,High,1,11358,4
15513,5072,1,2,10,Low,1,11358,4
15514,5073,1,3,5,High,1,82840,11
15515,5073,1,3,10,Low,2,68393,14
15516,5074,1,5,5,High,1,464163,1
15517,5074,1,5,10,Low,3,6416,3
15518,5075,1,11,6,Low,6,0,2
